ad_id,ad_date,day_of_the_week,hour_of_day,agency,ad_size,platform,device_type,format,impressions,clicks,spend
ads10001,2017-01-01,Sunday,23:00,Ogly,300x250,App,Mobile,Display,265236,580,203
ads10002,2017-01-02,Monday,23:00,Dentsu,720x300,Web,Desktop,Display,1194963,2328,987
ads10003,2017-01-03,Tuesday,23:00,Zion,480x70,Web,Mobile,Display,240785,372,244
ads10004,2017-01-04,Wednesday,23:00,MediaCom,336x250,Web,Desktop,Video,131506,881,100
ads10005,2017-01-05,Thursday,23:00,Paul and Clark,300x250,Web,Mobile,Video,1071637,1700,716
ads10006,2017-01-06,Friday,23:00,Mugen,480x70,Web,Mobile,Display,1293880,2551,924
ads10007,2017-01-07,Saturday,23:00,Ogly,300x250,Web,Mobile,Display,292700,628,207
ads10008,2017-01-08,Sunday,23:00,Mugen,300x250,Web,Mobile,Video,35382,137,44
ads10009,2017-01-09,Monday,23:00,Paul and Clark,700x450,App,Mobile,Video,140838,898,97
ads10010,2017-01-10,Tuesday,23:00,Zion,336x250,Web,Desktop,Display,43234,213,54
ads10011,2017-01-11,Wednesday,23:00,MediaCom,336x250,App,Mobile,Video,1296049,2676,1008
ads10012,2017-01-12,Thursday,23:00,Dentsu,728x94,Web,Desktop,Display,210892,437,162
ads10013,2017-01-13,Friday,23:00,Mugen,336x250,Web,Desktop,Display,1201854,2427,990
ads10014,2017-01-14,Saturday,23:00,Dentsu,300x250,Web,Desktop,Video,107422,116,89
ads10015,2017-01-15,Sunday,23:00,MediaCom,728x95,Web,Desktop,Display,22070,3579,229
ads10016,2017-01-16,Monday,23:00,Ogly,700x450,Web,Mobile,Video,68132,8952,354
ads10017,2017-01-17,Tuesday,23:00,Paul and Clark,336x250,App,Mobile,Display,168301,191,138
ads10018,2017-01-18,Wednesday,23:00,Zion,720x300,Web,Desktop,Display,51984,6805,239
ads10019,2017-01-19,Thursday,23:00,Zion,480x70,App,Mobile,Display,301968,622,248
ads10020,2017-01-20,Friday,23:00,Paul and Clark,300x250,Web,Desktop,Display,385802,830,230
ads10021,2017-01-21,Saturday,23:00,Ogly,300x250,App,Mobile,Video,1180048,2351,970
ads10022,2017-01-22,Sunday,23:00,MediaCom,480x70,App,Mobile,Display,237128,583,184
ads10023,2017-01-23,Monday,23:00,Dentsu,300x250,Web,Desktop,Display,263817,573,201
ads10024,2017-01-24,Tuesday,23:00,Mugen,336x250,Web,Mobile,Video,120192,733,103
ads10025,2017-01-25,Wednesday,23:00,Ogly,700x450,Web,Desktop,Video,1171562,2340,954
ads10026,2017-01-26,Thursday,23:00,Dentsu,336x250,Web,Mobile,Display,337439,747,219
ads10027,2017-01-27,Friday,23:00,Zion,300x250,App,Mobile,Display,462475,1010,253
ads10028,2017-01-28,Saturday,23:00,MediaCom,480x70,Web,Mobile,Display,356672,764,222
ads10029,2017-01-29,Sunday,23:00,Paul and Clark,336x250,Web,Mobile,Display,471298,1027,271
ads10030,2017-01-30,Monday,23:00,Mugen,300x250,App,Mobile,Display,500491,1069,269
ads10031,2017-01-31,Tuesday,23:00,Ogly,720x300,Web,Desktop,Display,77219,10022,441
ads10032,2017-02-01,Wednesday,23:00,Mugen,300x600,Web,Desktop,Display,23177,3130,106
ads10033,2017-02-02,Thursday,23:00,Paul and Clark,336x250,Web,Desktop,Video,8260,1340,62
ads10034,2017-02-03,Friday,23:00,Zion,300x250,Web,Mobile,Video,58783,268,60
ads10035,2017-02-04,Saturday,23:00,MediaCom,336x250,Web,Desktop,Display,939324,1899,913
ads10036,2017-02-05,Sunday,23:00,Dentsu,300x250,Web,Mobile,Display,1220897,2447,914
ads10037,2017-02-06,Monday,23:00,Mugen,300x250,Web,Mobile,Video,48884,234,62
ads10038,2017-02-07,Tuesday,23:00,Dentsu,700x450,App,Mobile,Video,102890,538,123
ads10039,2017-02-08,Wednesday,23:00,MediaCom,300x250,Web,Mobile,Display,68593,429,81
ads10040,2017-02-09,Thursday,23:00,Ogly,336x250,App,Mobile,Video,409441,1012,286
ads10041,2017-02-10,Friday,23:00,Paul and Clark,728x103,Web,Desktop,Display,83802,193,72
ads10042,2017-02-11,Saturday,23:00,Zion,336x250,App,Mobile,Display,402272,976,297
ads10043,2017-02-12,Sunday,23:00,Zion,300x250,Web,Desktop,Video,36132,4669,164
ads10044,2017-02-13,Monday,23:00,Paul and Clark,728x104,Web,Desktop,Display,39325,6843,406
ads10045,2017-02-14,Tuesday,23:00,Ogly,300x250,Web,Desktop,Display,125006,858,107
ads10046,2017-02-15,Wednesday,23:00,MediaCom,300x250,Web,Desktop,Video,453328,596,376
ads10047,2017-02-16,Thursday,23:00,Dentsu,720x300,Web,Desktop,Display,294035,602,255
ads10048,2017-02-17,Friday,23:00,Mugen,480x70,App,Mobile,Display,81483,302,61
ads10049,2017-02-18,Saturday,23:00,Ogly,336x250,Web,Mobile,Video,108608,598,106
ads10050,2017-02-19,Sunday,23:00,Dentsu,300x250,App,Mobile,Video,131183,693,112
ads10051,2017-02-20,Monday,23:00,Zion,480x70,App,Mobile,Display,1361264,2487,941
ads10052,2017-02-21,Tuesday,23:00,MediaCom,300x250,App,Mobile,Display,1297764,2646,1024
ads10053,2017-02-22,Wednesday,23:00,Paul and Clark,300x250,App,Mobile,Video,1106130,2271,991
ads10054,2017-02-23,Thursday,23:00,Mugen,700x450,Web,Desktop,Video,156259,407,142
ads10055,2017-02-24,Friday,23:00,Ogly,336x250,Web,Mobile,Display,1269324,2166,830
ads10056,2017-02-25,Saturday,23:00,Mugen,720x300,Web,Desktop,Display,9619,1339,64
ads10057,2017-02-26,Sunday,23:00,Paul and Clark,480x70,Web,Mobile,Display,143452,825,83
ads10058,2017-02-27,Monday,23:00,Zion,336x250,Web,Mobile,Display,272731,341,228
ads10059,2017-02-28,Tuesday,23:00,MediaCom,300x250,Web,Mobile,Video,34811,62,30
ads10060,2017-03-01,Wednesday,23:00,Dentsu,480x70,Web,Mobile,Display,1049716,2133,986
ads10061,2017-03-02,Thursday,23:00,Mugen,300x600,Web,Desktop,Display,84985,216,44
ads10062,2017-03-03,Friday,23:00,Dentsu,336x250,Web,Desktop,Video,433809,739,483
ads10063,2017-03-04,Saturday,23:00,MediaCom,700x450,App,Mobile,Video,142980,360,151
ads10064,2017-03-05,Sunday,23:00,Ogly,336x250,Web,Desktop,Display,290750,624,201
ads10065,2017-03-06,Monday,23:00,Paul and Clark,300x250,Web,Mobile,Display,75463,9750,455
ads10066,2017-03-07,Tuesday,23:00,Zion,728x109,Web,Desktop,Display,8319,1293,60
ads10067,2017-03-08,Wednesday,23:00,Zion,336x250,Web,Desktop,Display,69100,9122,466
ads10068,2017-03-09,Thursday,23:00,Paul and Clark,300x250,Web,Mobile,Display,61556,367,67
ads10069,2017-03-10,Friday,23:00,Ogly,336x250,App,Mobile,Video,657604,1246,677
ads10070,2017-03-11,Saturday,23:00,MediaCom,700x450,Web,Mobile,Video,51824,296,65
ads10071,2017-03-12,Sunday,23:00,Dentsu,336x250,App,Mobile,Display,191389,422,158
ads10072,2017-03-13,Monday,23:00,Mugen,300x250,Web,Desktop,Video,302067,670,206
ads10073,2017-03-14,Tuesday,23:00,Ogly,480x70,App,Mobile,Display,282550,617,218
ads10074,2017-03-15,Wednesday,23:00,Dentsu,300x250,Web,Desktop,Display,88498,197,83
ads10075,2017-03-16,Thursday,23:00,Zion,300x250,Web,Desktop,Video,10106,1509,71
ads10076,2017-03-17,Friday,23:00,MediaCom,720x300,Web,Desktop,Display,19373,2209,86
ads10077,2017-03-18,Saturday,23:00,Paul and Clark,300x250,Web,Desktop,Display,40935,6857,392
ads10078,2017-03-19,Sunday,23:00,Mugen,336x250,Web,Mobile,Video,82561,530,80
ads10079,2017-03-20,Monday,23:00,Ogly,300x250,App,Mobile,Video,74910,169,63
ads10080,2017-03-21,Tuesday,23:00,Mugen,336x250,Web,Mobile,Display,8977,1429,70
ads10081,2017-03-22,Wednesday,23:00,Paul and Clark,300x250,App,Mobile,Display,29157,4605,296
ads10082,2017-03-23,Thursday,23:00,Zion,300x250,App,Mobile,Video,22030,2926,116
ads10083,2017-03-24,Friday,23:00,MediaCom,700x450,Web,Desktop,Video,276394,652,207
ads10084,2017-03-25,Saturday,23:00,Dentsu,300x250,App,Mobile,Display,350966,820,241
ads10085,2017-03-26,Sunday,23:00,Mugen,720x300,Web,Desktop,Display,50879,119,47
ads10086,2017-03-27,Monday,23:00,Dentsu,480x70,Web,Mobile,Display,25353,77,19
ads10087,2017-03-28,Tuesday,23:00,MediaCom,336x250,Web,Desktop,Video,134746,314,134
ads10088,2017-03-29,Wednesday,23:00,Ogly,300x250,Web,Mobile,Video,219761,483,139
ads10089,2017-03-30,Thursday,23:00,Paul and Clark,480x70,Web,Mobile,Display,135385,400,78
ads10090,2017-03-31,Friday,23:00,Zion,300x250,Web,Mobile,Display,452,35,2
ads10091,2017-04-01,Saturday,23:00,Zion,300x250,Web,Mobile,Video,617,41,3
ads10092,2017-04-02,Sunday,23:00,Paul and Clark,700x450,App,Mobile,Video,23933,3431,249
ads10093,2017-04-03,Monday,23:00,Ogly,336x250,Web,Desktop,Display,19244,2496,105
ads10094,2017-04-04,Tuesday,23:00,MediaCom,336x250,App,Mobile,Video,58519,340,64
ads10095,2017-04-05,Wednesday,23:00,Dentsu,728x118,Web,Desktop,Display,42520,214,50
ads10096,2017-04-06,Thursday,23:00,Mugen,336x250,Web,Desktop,Display,50591,116,37
ads10097,2017-04-07,Friday,23:00,Ogly,300x250,Web,Desktop,Video,53276,126,50
